# label	mx	my	TooBig	Compact	Shadow	fillfac	aspect	contrast	skip?
1	96	279	True	False	False	0.994	2.906	12.139	*
2	4	3	False	False	False	1.000	1.333	1.136	 
3	3	4	False	False	False	1.000	1.333	1.431	 
4	3	4	False	False	True	1.000	1.333	-1.237	 
5	4	5	False	True	False	0.950	1.250	1.081	 
6	4	4	False	True	False	0.938	1.000	1.151	 
7	4	4	False	True	True	1.000	1.000	0.608	 
8	3	4	False	False	False	1.000	1.333	1.590	 
9	4	4	False	True	True	1.000	1.000	0.431	 
10	3	4	False	False	False	1.000	1.333	1.196	 
11	4	3	False	False	False	1.000	1.333	1.161	 
12	4	3	False	False	False	1.000	1.333	1.072	 
13	4	4	False	True	False	0.938	1.000	1.049	 
14	4	3	False	False	False	1.000	1.333	1.232	 
15	4	3	False	False	False	1.000	1.333	1.135	 
16	4	4	False	True	True	0.938	1.000	0.134	 
17	3	3	False	True	False	1.000	1.000	1.136	 
18	3	4	False	False	False	1.000	1.333	1.392	 
19	4	4	False	True	False	0.938	1.000	0.944	 
20	8	5	False	False	False	0.825	1.600	0.911	 
21	3	4	False	False	False	1.000	1.333	1.064	 
22	3	4	False	False	False	1.000	1.333	1.225	 
23	4	3	False	False	False	1.000	1.333	1.245	 
24	4	4	False	True	True	1.000	1.000	0.512	 
25	5	6	False	True	False	0.967	1.200	0.937	 
26	4	3	False	False	False	1.000	1.333	0.923	 
27	4	3	False	False	False	1.000	1.333	0.901	 
28	4	4	False	True	False	1.000	1.000	1.307	 
29	4	6	False	False	True	0.917	1.500	0.483	 
30	4	4	False	True	True	0.938	1.000	0.826	 
31	3	4	False	False	False	1.000	1.333	1.519	 
32	3	4	False	False	True	1.000	1.333	0.881	 
33	4	4	False	True	False	0.938	1.000	1.302	 
34	3	4	False	False	False	1.000	1.333	1.602	 
35	4	4	False	True	False	1.000	1.000	2.020	 
36	3	4	False	False	False	1.000	1.333	1.245	 
37	3	4	False	False	False	1.000	1.333	2.132	 
38	3	4	False	False	False	1.000	1.333	1.424	 
39	6	8	True	False	False	0.938	1.333	0.929	 
40	3	4	False	False	False	1.000	1.333	1.293	 
41	6	8	True	False	False	0.896	1.333	0.933	 
42	3	3	False	True	True	1.000	1.000	0.880	 
43	3	3	False	True	True	1.000	1.000	0.667	 
44	4	6	False	False	True	0.917	1.500	-2.237	 
45	3	3	False	True	False	1.000	1.000	1.190	 
46	3	3	False	True	False	1.000	1.000	0.916	 
47	3	3	False	True	False	1.000	1.000	1.509	 
48	4	3	False	False	True	1.000	1.333	0.621	 
49	2	4	False	False	True	1.000	2.000	-1.898	 
50	4	4	False	True	True	1.000	1.000	0.892	 
51	3	3	False	True	False	1.000	1.000	1.073	 
52	4	4	False	True	False	1.000	1.000	0.911	 
53	3	4	False	False	False	1.000	1.333	1.237	 
54	3	4	False	False	False	1.000	1.333	1.856	 
55	4	4	False	True	False	0.938	1.000	0.979	 
56	3	3	False	True	False	1.000	1.000	0.929	 
57	3	4	False	False	False	1.000	1.333	1.208	 
58	7	6	True	True	True	0.810	1.167	0.846	*
59	7	5	False	False	True	0.771	1.400	0.803	 
60	3	3	False	True	False	1.000	1.000	1.079	 
61	5	6	False	True	False	0.900	1.200	0.936	 
62	3	4	False	False	False	1.000	1.333	1.148	 
63	3	4	False	False	False	1.000	1.333	1.307	 
64	3	4	False	False	False	1.000	1.333	1.249	 
65	3	4	False	False	False	1.000	1.333	4.074	 
66	3	3	False	True	False	1.000	1.000	0.952	 
67	3	4	False	False	False	1.000	1.333	0.916	 
68	4	3	False	False	False	1.000	1.333	1.079	 
69	3	5	False	False	True	1.000	1.667	-0.668	 
70	4	4	False	True	False	0.938	1.000	4.512	 
71	96	453	True	False	False	0.989	4.719	10.439	*
72	41	449	True	False	False	0.985	10.951	2.387	*
73	4	6	False	False	True	1.000	1.500	0.734	 
74	4	4	False	True	False	1.000	1.000	3.718	 
75	3	4	False	False	False	1.000	1.333	1.209	 
76	6	8	True	False	False	1.000	1.333	2.498	 
77	4	4	False	True	False	1.000	1.000	2.527	 
78	4	4	False	True	False	1.000	1.000	1.531	 
79	4	3	False	False	True	1.000	1.333	-0.144	 
80	3	4	False	False	False	1.000	1.333	1.128	 
81	4	3	False	False	True	1.000	1.333	0.891	 
82	4	3	False	False	False	1.000	1.333	2.293	 
83	5	5	False	True	False	0.920	1.000	1.055	 
84	4	3	False	False	False	1.000	1.333	1.113	 
85	4	3	False	False	False	1.000	1.333	1.094	 
86	4	7	False	False	True	0.964	1.750	0.840	 
87	4	4	False	True	False	0.938	1.000	1.146	 
88	4	4	False	True	True	1.000	1.000	0.786	 
89	3	3	False	True	False	1.000	1.000	0.937	 
90	3	4	False	False	True	1.000	1.333	0.722	 
91	4	4	False	True	False	1.000	1.000	2.123	 
92	3	4	False	False	True	1.000	1.333	0.790	 
93	3	4	False	False	False	1.000	1.333	0.915	 
94	3	4	False	False	False	1.000	1.333	1.038	 
95	3	4	False	False	True	1.000	1.333	0.587	 
96	4	3	False	False	True	1.000	1.333	0.689	 
97	3	3	False	True	False	1.000	1.000	1.279	 
98	3	3	False	True	False	1.000	1.000	1.206	 
99	4	3	False	False	False	1.000	1.333	1.131	 
100	4	3	False	False	False	1.000	1.333	1.154	 
101	3	4	False	False	False	1.000	1.333	1.106	 
102	4	3	False	False	False	1.000	1.333	1.170	 
103	4	4	False	True	False	1.000	1.000	1.193	 
104	3	4	False	False	False	1.000	1.333	1.198	 
105	4	4	False	True	True	1.000	1.000	0.013	 
106	4	4	False	True	False	1.000	1.000	2.253	 
107	3	4	False	False	False	1.000	1.333	1.079	 
108	3	4	False	False	False	1.000	1.333	1.694	 
109	3	4	False	False	False	1.000	1.333	1.240	 
110	4	3	False	False	False	1.000	1.333	2.954	 
111	4	4	False	True	False	0.938	1.000	1.062	 
112	3	3	False	True	False	1.000	1.000	1.218	 
113	3	4	False	False	False	1.000	1.333	5.560	 
114	3	4	False	False	False	1.000	1.333	1.375	 
115	4	3	False	False	False	1.000	1.333	0.923	 
116	3	3	False	True	False	1.000	1.000	1.308	 
117	4	4	False	True	False	1.000	1.000	1.039	 
118	3	3	False	True	False	1.000	1.000	1.247	 
119	4	3	False	False	True	1.000	1.333	0.484	 
120	4	3	False	False	False	1.000	1.333	1.457	 
121	4	10	False	False	True	1.000	2.500	0.887	 
122	5	8	False	False	True	0.950	1.600	0.891	 
123	2	2	False	True	False	1.000	1.000	1.528	 
124	4	3	False	False	False	1.000	1.333	1.413	 
125	4	3	False	False	False	1.000	1.333	1.143	 
126	4	4	False	True	False	1.000	1.000	3.120	 
127	4	3	False	False	False	1.000	1.333	1.167	 
128	4	4	False	True	False	0.938	1.000	1.442	 
129	4	3	False	False	False	1.000	1.333	1.098	 
130	4	4	False	True	False	0.938	1.000	1.140	 
131	3	3	False	True	False	1.000	1.000	0.945	 
132	4	3	False	False	False	1.000	1.333	1.431	 
133	4	3	False	False	False	1.000	1.333	1.165	 
134	4	3	False	False	False	1.000	1.333	1.638	 
135	4	3	False	False	False	1.000	1.333	1.383	 
136	3	3	False	True	False	1.000	1.000	0.937	 
137	4	3	False	False	False	1.000	1.333	1.187	 
138	4	3	False	False	False	1.000	1.333	1.218	 
139	4	6	False	False	False	1.000	1.500	2.286	 
140	3	4	False	False	True	1.000	1.333	0.779	 
141	3	4	False	False	False	1.000	1.333	4.348	 
142	3	3	False	True	False	1.000	1.000	1.198	 
143	3	3	False	True	False	1.000	1.000	1.144	 
144	3	3	False	True	False	1.000	1.000	1.262	 
145	4	3	False	False	False	1.000	1.333	1.323	 
146	4	3	False	False	False	1.000	1.333	1.077	 
147	4	4	False	True	True	1.000	1.000	0.325	 
148	3	4	False	False	True	1.000	1.333	0.834	 
149	4	4	False	True	False	0.938	1.000	1.167	 
150	4	3	False	False	False	1.000	1.333	1.321	 
151	4	3	False	False	False	1.000	1.333	1.356	 
152	4	3	False	False	False	1.000	1.333	1.260	 
153	4	3	False	False	False	1.000	1.333	1.320	 
154	4	4	False	True	False	0.938	1.000	1.170	 
155	4	3	False	False	False	1.000	1.333	1.205	 
156	4	3	False	False	False	1.000	1.333	1.053	 
157	4	3	False	False	False	1.000	1.333	1.116	 
158	4	3	False	False	False	1.000	1.333	1.215	 
159	4	3	False	False	False	1.000	1.333	1.099	 
160	4	3	False	False	False	1.000	1.333	1.170	 
161	4	3	False	False	False	1.000	1.333	1.263	 
162	4	3	False	False	False	1.000	1.333	1.157	 
163	4	3	False	False	False	1.000	1.333	1.119	 
164	4	3	False	False	False	1.000	1.333	1.089	 
165	4	3	False	False	False	1.000	1.333	1.197	 
166	4	3	False	False	False	1.000	1.333	1.199	 
167	3	4	False	False	False	1.000	1.333	1.088	 
168	4	3	False	False	False	1.000	1.333	5.041	 
169	4	4	False	True	True	1.000	1.000	0.605	 
170	4	3	False	False	False	1.000	1.333	1.059	 
171	3	3	False	True	False	1.000	1.000	1.208	 
172	4	4	False	True	False	0.938	1.000	1.083	 
173	4	3	False	False	False	1.000	1.333	1.309	 
174	4	3	False	False	False	1.000	1.333	1.727	 
175	3	7	False	False	False	1.000	2.333	2.907	 
176	3	3	False	True	False	1.000	1.000	4.721	 
177	4	4	False	True	False	1.000	1.000	7.160	 
178	3	3	False	True	False	1.000	1.000	3.479	 
179	3	2	False	False	False	1.000	1.500	5.788	 
180	3	3	False	True	False	1.000	1.000	1.378	 
181	3	3	False	True	False	1.000	1.000	1.299	 
182	3	5	False	False	False	1.000	1.667	1.083	 
183	3	3	False	True	False	1.000	1.000	1.324	 
184	3	3	False	True	False	1.000	1.000	1.259	 
185	3	3	False	True	False	1.000	1.000	1.296	 
186	3	3	False	True	False	1.000	1.000	1.412	 
187	2	6	False	False	True	1.000	3.000	-3.083	 
188	4	4	False	True	False	0.938	1.000	3.960	 
189	3	3	False	True	False	1.000	1.000	1.262	 
190	4	3	False	False	False	1.000	1.333	1.251	 
191	4	4	False	True	False	1.000	1.000	4.018	 
192	4	3	False	False	False	1.000	1.333	1.195	 
193	4	3	False	False	False	1.000	1.333	1.392	 
194	3	3	False	True	True	1.000	1.000	0.808	 
195	4	4	False	True	False	0.938	1.000	1.041	 
196	4	3	False	False	True	1.000	1.333	-0.169	 
197	3	3	False	True	False	1.000	1.000	1.491	 
198	4	3	False	False	False	1.000	1.333	1.209	 
199	3	3	False	True	False	1.000	1.000	1.253	 
200	4	3	False	False	False	1.000	1.333	1.267	 
201	4	6	False	False	True	1.000	1.500	-0.974	 
202	3	4	False	False	False	1.000	1.333	1.189	 
203	4	3	False	False	False	1.000	1.333	1.286	 
204	4	4	False	True	True	1.000	1.000	0.893	 
205	4	3	False	False	True	1.000	1.333	0.397	 
206	4	3	False	False	False	1.000	1.333	1.147	 
207	4	3	False	False	True	1.000	1.333	0.803	 
208	4	3	False	False	True	1.000	1.333	0.291	 
209	4	4	False	True	False	1.000	1.000	5.712	 
210	9	13	True	False	False	0.726	1.444	0.951	 
211	4	3	False	False	False	1.000	1.333	1.479	 
212	4	3	False	False	False	1.000	1.333	1.228	 
213	3	4	False	False	True	1.000	1.333	0.845	 
214	4	4	False	True	False	1.000	1.000	1.245	 
215	3	3	False	True	True	1.000	1.000	0.876	 
216	3	3	False	True	False	1.000	1.000	1.504	 
217	3	3	False	True	False	1.000	1.000	1.293	 
218	6	4	False	False	False	1.000	1.500	0.925	 
219	3	4	False	False	False	1.000	1.333	1.798	 
220	3	4	False	False	True	1.000	1.333	0.749	 
221	4	5	False	True	False	0.950	1.250	0.931	 
222	3	3	False	True	False	1.000	1.000	0.906	 
223	3	3	False	True	False	1.000	1.000	1.220	 
224	4	3	False	False	False	1.000	1.333	2.359	 
225	4	3	False	False	False	1.000	1.333	1.322	 
226	3	4	False	False	False	1.000	1.333	1.055	 
227	3	4	False	False	False	1.000	1.333	1.160	 
228	3	3	False	True	False	1.000	1.000	1.295	 
229	3	3	False	True	False	1.000	1.000	0.912	 
230	6	8	True	False	False	0.792	1.333	0.949	 
231	4	4	False	True	True	1.000	1.000	-1.356	 
232	3	4	False	False	False	1.000	1.333	1.160	 
233	4	4	False	True	False	0.938	1.000	0.923	 
234	3	4	False	False	True	1.000	1.333	0.804	 
235	3	4	False	False	True	1.000	1.333	0.813	 
236	6	5	False	True	False	0.933	1.200	0.954	 
237	3	3	False	True	False	1.000	1.000	1.290	 
238	3	3	False	True	False	1.000	1.000	1.511	 
239	3	3	False	True	True	1.000	1.000	0.890	 
240	4	3	False	False	False	1.000	1.333	1.721	 
241	3	3	False	True	False	1.000	1.000	5.037	 
242	4	4	False	True	False	1.000	1.000	147.336	 
243	3	3	False	True	False	1.000	1.000	17.715	 
244	4	3	False	False	True	1.000	1.333	-66.771	 
245	3	3	False	True	True	1.000	1.000	-21.157	 
