[Ne III]	3967.79
He II	3968.432
H I	3970.07
He I	4026.21
[S II]/C III	4068.60
[S II]/O II	4076.35
H I	4101.74
He I	4143.76
He II	4199.83
C II	4267.15
H I	4340.47
[O III]	4363.21
He I	4387.93
He I	4471.09
N III	4510.91
He II	4541.59
[Mg I]	4562.6017
Mg I]	4571.0956
O II	4590.97
O II	4610.2
O II	4641.81
O II	4649.13
O II	4650.84
[Fe III]	4658.10
He II	4686
[Ar IV]	4711.37
He I	4713.14
[Ar IV]	4740.17
H I	4861.32
He I	4921.93
[O III]	4958.91
[O III]	5006.84
[Ar III]	5192
[N I]	5199
[Fe III]	5270.40
C II	5342.40
He II	5411.52
[Cl III]	5517.71
[Cl III]	5537.88
[O I]/Sky	5577.34
O III	5592.37
N II	5679.56
[N II]	5755.08
C IV	5801.33
C IV	5811.98
Sky	5846
He I	5875.62
Sky	5938
He II	6004.73
Sky	6026
He II	6036.70
Sky	6068
Sky	6090
Sky	6136
He II	6232.88
Sky	6260
[O I]	6300.30
[S III]	6312.06
Sky	6328
[O I]	6363.78
Sky	6398
[Ar V]	6435.09
C II	6454.77
C II	6461.95
Sky	6500
He II	6527.11
[N II]	6548.05
H I	6562.79
[N II]	6583.45
He I	6678.15
[S II]	6716.44
[S II]	6730.816
Sky	6864
He II	6890.88
Sky	6924
Sky	6959
