Section	Sum(E/W)	dSum	Strongest	E6583	dE6583	E/W 6583	k6583	kk6583	F6583
red-0637-0562	0.0305782766647	0.000114191810993	H I 6563 99%	262.569382925	4.81107012051	9.41525034714	1.192336279	1.59437094138	2746.67441977
red-0477-0648	0.0825289143541	0.000173593316841	H I 6563 100%	505.874039448	7.50753334967	18.1397033899	0.763603242107	2.4990768686	1060.7061825
red-0447-0292	0.0431637204064	0.000199209563472	H I 6563 99%	637.925664195	8.97315615835	22.8748293664	1.26193912242	2.3849767431	8920.13910042
red-0637-0203	0.0426113674386	0.000256629149605	H I 6563 100%	329.355461158	10.2218544599	11.8100750569	1.2963090659	2.49330294203	4222.05372059
red-0192-0701	0.0599497385506	0.000155968082925	H I 6563 100%	337.813707127	6.4777096532	12.1133720461	1.36710014362	2.61461387906	7583.216841
red-0275-0352	0.0508917300313	0.000499937225148	H I 6563 99%	528.958819498	21.2909435847	18.9674807223	1.33102624826	1.56028140262	10464.2489324
red-0148-0501	0.053522013475	0.000334783421744	H I 6563 99%	406.284612347	14.2435236648	14.5686115221	1.23631201597	2.44071050102	4143.14799215
red-0258-0322	0.0419516075882	0.000133324311674	H I 6563 99%	389.142737568	5.64347057519	13.9539357337	1.25423970466	2.00881988147	8093.59260705
red-0689-0233	0.0584133249137	0.000152401627996	H I 6563 99%	554.895982834	6.49268890077	19.8975392211	0.938901161214	2.60042886278	4379.39576605
red-0413-0233	0.0398686224188	6.75182428337e-05	H I 6563 99%	440.015587187	2.81709055172	15.7781416243	1.23595184301	2.0990209253	7326.88475866
red-0344-0472	0.0348973541778	0.000142180429452	H I 6563 99%	300.60461917	6.00878455806	10.7791232681	1.20329739363	1.42213651651	4525.89954998
red-0162-0593	0.0529971104943	0.000166666635146	H I 6563 100%	390.412717859	7.22872877828	13.9994748679	1.07208663383	4.51278920682	2115.48237134
red-0551-0412	0.0368204382864	5.75040671036e-05	H I 6563 99%	319.232851087	2.43778574267	11.4470970626	1.37037892436	2.07324616039	3911.41739608
red-0672-0382	0.0289592098465	5.42983602783e-05	H I 6563 100%	181.830737065	2.33256454166	6.5201124792	1.35619803335	2.18338385645	2119.50622637
red-0361-0502	0.0201900984109	3.42938657292e-05	H I 6563 99%	154.830092299	1.46758234244	5.5519195118	1.12834147665	1.55596443618	2594.54032599
red-0296-0462	0.054719047534	0.000192723044697	H I 6563 99%	503.884234096	8.21917668448	18.068352666	1.32477441577	2.58129004671	10906.0217648
red-0286-0501	0.0451967177621	0.00010088641726	H I 6563 99%	376.350153826	4.23748689934	13.495217443	1.14094371408	2.42044341279	2657.51725347
red-0189-0322	0.0531292785113	0.000296499959819	H I 6563 99%	458.899609321	11.878422258	16.4552875808	1.3643937011	2.85480028082	9852.48533437
red-0244-0552	0.0648034190404	0.000182483716185	H I 6563 99%	555.555159899	7.79863609085	19.9211760862	1.11932688161	2.92303217554	10756.8753152
red-0244-0553	0.0529535647271	0.000163019537979	H I 6563 99%	473.016041001	6.90175434388	16.9614765995	1.02755005825	3.88398955368	2219.00827619
red-0296-0641	0.057867016733	0.000178336193139	H I 6563 100%	437.994954246	7.44654510775	15.7056854804	1.30697412566	2.14283524821	8285.20260778
red-0355-0560	0.0425905327292	0.000120311477229	H I 6563 99%	331.881544324	4.98737976715	11.9006557071	1.12313686437	2.7348738335	2077.33921833
red-0421-0444	0.0477156550399	0.000203207665936	H I 6563 100%	354.310454235	8.69075194865	12.7049147546	1.05521641679	5.27588713811	1480.41253327
red-0318-0743	0.0580746137381	0.000166677945513	H I 6563 100%	236.227564978	7.25327775951	8.47068168568	1.04361474129	3.17633915137	1137.4160964
red-0165-0531	0.0501025130925	0.000192385930571	H I 6563 99%	508.285025639	7.8713609714	18.2261568762	1.30685255021	1.9826484143	5234.08402048
red-0182-0680	0.0482988252975	9.90727365569e-05	H I 6563 100%	305.773925142	4.19313193308	10.9644849783	1.19611903602	2.1364806242	2667.31993293
red-0337-0590	0.0387889144549	6.85083014743e-05	H I 6563 99%	323.915302001	2.86533778074	11.6150010547	1.1646737513	2.16709796462	2412.94436865
red-0514-0547	0.073026291982	0.000236885148309	H I 6563 99%	650.705382848	10.5578158804	23.3330863389	1.28477658953	4.39626476946	1340.20683624
red-0335-0354	0.0557643005621	0.000195286108467	H I 6563 99%	39.9086914222	20.7592239413	1.43105154371	1.06213793577	3.18155945492	284.619881416
red-0180-0324	0.0843215525433	0.000285326301622	H I 6563 99%	597.272234405	12.4068100427	21.4170728882	1.09587971626	4.80792491859	3992.61738346
red-0300-0653	0.0528616141464	0.000160863424543	H I 6563 100%	342.93462743	6.82139364874	12.296998736	1.02063445741	3.2616028006	1545.78206258
red-0655-0233	0.0439188499434	0.000142072467348	H I 6563 99%	439.317215488	5.89239061682	15.7530993124	1.25598761726	2.57090400809	5085.77269144
red-0689-0292	0.0430798510556	0.000130906384415	H I 6563 99%	339.3825291	5.41170980533	12.169627088	1.27369051826	2.35066159874	4227.79455437
red-0327-0502	0.0419329434423	0.000127113772395	H I 6563 99%	330.596340816	5.44952478414	11.8545706965	1.25639723025	1.98702636771	3896.55819932
red-0517-0233	0.047507081602	0.000192699234844	H I 6563 99%	427.464104713	8.29139919869	15.3280687773	1.26553457036	2.33312793423	6490.69706698
red-0482-0292	0.0466533449699	0.000226963032532	H I 6563 99%	441.795621482	9.73492032461	15.8419703477	1.23490883536	2.25779056312	5634.88678964
red-0240-0352	0.0253410607883	0.000115324990013	H I 6563 99%	214.717275982	4.92332189742	7.69936267779	0.709150578093	0.879611263051	8538.54937773
red-0244-0731	0.0617383154177	0.00015577868479	H I 6563 100%	253.634827255	6.63510021623	9.09487377681	1.26589031107	2.4565661647	5026.53396744
red-0309-0472	0.0411004070483	0.000133492905629	H I 6563 99%	401.540676556	5.72143005395	14.3985027965	1.26723835766	2.04717191284	5174.15707207
red-0180-0444	0.0598666137004	0.000191888492241	H I 6563 99%	449.375034925	8.05703080476	16.113754035	1.12040645284	4.07911172409	3116.43803992
red-0300-0234	0.0457961945247	0.000195482562997	H I 6563 99%	57.8705078405	9.18839118579	2.07512891627	1.00406052942	3.2223983589	414.685556467
red-0421-0563	0.0481956434702	0.000131582653451	H I 6563 99%	393.644389386	5.67120169178	14.115356606	1.05330287574	3.48617298688	1560.81616461
red-0231-0713	0.0586858077449	0.000261809794787	H I 6563 100%	232.844528247	11.2069902899	8.34937227252	1.05650765134	3.57710250288	1164.1800313
