Section	Sum(E/W)	dSum	Strongest	E6716	dE6716	E/W 6716	k6716	kk6716	F6716
red-0266-0533	0.184328302981	0.000895074528787	[S II] 6731 100%	73.0446989417	0.629848051514	3.7471328157	0.586447524477	2.25236520095	119.845728198
red-0462-0577	0.057608595771	0.000276761112288	[S II] 6731 100%	29.0007932901	0.218564619913	1.48771677881	1.01642841275	1.26873613149	85.473850312
red-0517-0412	0.196847260219	0.00135730936598	[S II] 6731 100%	85.4308936477	0.987827408597	4.38253438921	0.550882165327	2.55965193845	240.610110858
red-0482-0532	0.0471122688522	0.00050161338403	[S II] 6731 100%	22.4635718498	0.422816237575	1.15236271017	1.3160983363	1.37025834882	228.875853562
red-0603-0382	0.229430172475	0.000903071757448	[S II] 6731 100%	95.9419080255	0.641725358093	4.92174075835	0.380314202773	1.81161045345	248.205533468
red-0568-0322	0.0494293360974	0.00034887903139	[S II] 6731 100%	23.4799327251	0.274981353016	1.20450118488	1.33592470945	1.41545903277	301.774070894
red-0477-0648	0.107642203722	0.0010696743649	[S II] 6731 100%	54.2225364073	0.801240898075	2.78157140033	0.565081812647	1.18412923358	82.468386025
red-0227-0402	0.0635282446816	0.00042354574038	[S II] 6731 100%	25.0311308142	0.341544209191	1.28407636758	1.50653695831	1.61140969294	864.841447307
red-0175-0731	0.0459306844021	0.000203599796216	[S II] 6731 100%	23.260627162	0.164756191898	1.19325099035	1.41530293843	1.48429630019	493.991881131
red-0266-0234	0.061708372745	0.000386102760462	[S II] 6731 100%	25.7785498791	0.306967696488	1.32241834921	1.03503901023	1.25934550747	204.479326015
red-0268-0411	0.0564559824787	0.000216014607866	[S II] 6731 100%	23.3781133311	0.172792869383	1.19927793394	1.21122695138	1.32735244235	235.089247119
red-0465-0442	0.177787537753	0.000858520613831	[S II] 6731 100%	78.8558508982	0.607027435137	4.0452401186	0.547363208649	2.42992999017	224.710803121
red-0396-0562	0.0472747817187	0.000407108890141	[S II] 6731 100%	23.0580712868	0.322088577692	1.182860041	1.24728486746	1.31745020996	249.676412901
red-0318-0384	0.0560278344922	0.000228173348401	[S II] 6731 100%	23.1902280861	0.18216258722	1.18963957582	1.08187476519	1.33259669286	151.967003246
red-0378-0412	0.0780778586131	0.000489294576149	[S II] 6731 100%	34.604409696	0.391892553589	1.77517767912	0.676190405381	1.34675435676	232.093359954
red-0251-0381	0.0614485589327	0.000243263757111	[S II] 6731 100%	24.6933359103	0.19343412553	1.26674776758	1.22687661682	1.342713618	271.205426409
red-0330-0522	0.0475603788363	0.000287319548327	[S II] 6731 100%	22.3125787067	0.23261986101	1.14461688646	1.40880787099	1.54420849196	407.314091292
red-0227-0582	0.0480840041208	0.000290032947135	[S II] 6731 100%	22.3680436088	0.231621830441	1.14746219019	1.3582478735	1.41840599359	506.427720432
red-0227-0583	0.050854411016	0.000267654544315	[S II] 6731 100%	23.6620966529	0.217352915196	1.21384604415	1.05591692476	1.30633045977	112.501764576
red-0165-0770	0.0394416591698	0.00017060024108	[S II] 6731 100%	20.6615130573	0.137296293825	1.05991858028	1.18893812862	1.2870101867	134.383481099
red-0672-0203	0.0534979658216	0.000299762175651	[S II] 6731 100%	27.6297444486	0.261684457349	1.41738310395	1.37103297033	1.39892430949	337.459829628
red-0197-0713	0.0387414191121	0.000209634572454	[S II] 6731 100%	20.0204288682	0.165898696399	1.02703149008	1.07155806022	1.26211051951	97.6413793176
red-0148-0501	0.065480185276	0.000194606121249	[S II] 6731 100%	27.3770333698	0.15672306958	1.40441923401	1.27240756522	1.36868128418	281.654499179
red-0214-0444	0.126564286495	0.000471725195147	[S II] 6731 100%	49.0658841896	0.363292506683	2.51703939426	0.8159619568	1.83316731997	161.044795484
red-0286-0441	0.0512007787302	0.000198761841375	[S II] 6731 100%	21.8661721907	0.156881491325	1.12171660033	1.19964276116	1.30111519753	198.381344693
red-0369-0414	0.0435892613411	0.000234217303833	[S II] 6731 100%	19.6119018148	0.18549340534	1.00607438915	1.07456400536	1.35824409865	99.3022448832
red-0156-0191	0.0337779239991	0.000208205827093	[S II] 6731 100%	14.3400294165	0.168534241475	0.735631682836	1.33265577069	1.37834008561	481.146264273
red-0479-0607	0.060676057147	0.000351983075645	[S II] 6731 100%	31.8890092084	0.285139055142	1.6358798735	0.983043062419	1.15219513888	85.4213033017
red-0361-0382	0.0415743228366	0.00021294713185	[S II] 6731 100%	18.5873669496	0.173699597204	0.9535165955	1.53795671088	1.38506808295	289.885607849
red-0215-0473	0.186378261403	0.00234512218188	[S II] 6731 100%	67.9411452595	1.6221489177	3.4853247207	0.597357660669	2.87344400931	129.77656027
red-0507-0359	0.0502466556137	0.000364823264665	[S II] 6731 100%	23.1367348794	0.289019052182	1.18689541843	1.40356003548	1.48467668627	412.561847984
red-0148-0680	0.0402221961996	0.000129043766996	[S II] 6731 100%	19.4380101176	0.103048062418	0.997153888493	1.29713499825	1.26771324952	171.345335975
red-0292-0322	0.0592705030492	0.000243623622951	[S II] 6731 100%	24.197874124	0.197346070202	1.24133098656	1.47639936883	1.4192383865	547.538104846
red-0283-0384	0.0614989832833	0.000204270841875	[S II] 6731 100%	24.9230542979	0.164437838387	1.27853213142	1.06658798695	1.28756217608	171.293152966
red-0148-0262	0.0570731979812	0.00029815842825	[S II] 6731 100%	24.0215639874	0.242405686745	1.23228642195	1.23365802993	1.34233831935	315.24399601
red-0278-0552	0.0578134425269	0.000478767013781	[S II] 6731 100%	25.3646727117	0.385781763781	1.30118679185	1.39393753568	1.48261914519	553.995389501
red-0261-0641	0.053339710045	0.00029378703714	[S II] 6731 100%	25.1613362322	0.237589678925	1.29075579814	1.34915132831	1.45043999549	507.372838847
red-0542-0359	0.04922060143	0.000201552822496	[S II] 6731 100%	23.7160531623	0.168091984592	1.21661396858	1.42049687545	1.46027802343	437.464405476
red-0318-0683	0.0385381555191	0.000173137984668	[S II] 6731 100%	19.6504276468	0.13731432104	1.00805073256	1.05553071246	1.27594052736	92.0802071716
red-0234-0770	0.0373016104021	0.000130997438892	[S II] 6731 100%	19.2556191598	0.103746616948	0.987797382776	1.18387990239	1.27232054934	148.872808715
red-0251-0680	0.0426195745356	0.00021163406118	[S II] 6731 100%	20.2703331066	0.168112455387	1.03985137141	1.18879291782	1.28649474977	159.824020329
red-0318-0563	0.0419145104	0.000319273197446	[S II] 6731 100%	19.5391367942	0.257761331846	1.0023416036	1.16489525022	1.27936054693	89.9792533363
red-0214-0384	0.0574063962749	0.000232495604343	[S II] 6731 100%	22.9528392318	0.184939132946	1.17746172337	1.18843369477	1.36437364668	190.584968426
red-0655-0352	0.0416431829572	0.000282070690161	[S II] 6731 100%	20.1642843549	0.231290218551	1.0344111579	1.47160688137	1.37983786913	258.956376822
red-0148-0740	0.0364979673555	0.000138110211488	[S II] 6731 100%	18.624138418	0.110678990435	0.955402941501	1.26673116326	1.27361902457	147.776097679
red-0286-0680	0.0403503383198	0.000170576886644	[S II] 6731 100%	19.8671188098	0.136372124259	1.01916681052	1.18829380272	1.27046368026	150.96961678
red-0189-0263	0.0795366491376	0.000567907883458	[S II] 6731 100%	31.3540957268	0.446737992676	1.60843925304	1.44092926391	1.48958793781	782.162878085
red-0586-0352	0.055986933504	0.000393345614117	[S II] 6731 100%	25.3412138983	0.310613209866	1.29998337407	1.35034998193	1.41780965389	295.614554968
red-0534-0502	0.0425446158614	0.000346440407148	[S II] 6731 100%	20.19523607	0.275861779645	1.03599895537	1.38604658381	1.32043977427	243.977152604
red-0531-0577	0.0623054166933	0.000356005069582	[S II] 6731 100%	32.4438631216	0.285300863562	1.66434342166	0.961266143934	1.22716574345	90.8020234275
red-0180-0623	0.107526082897	0.000627268154297	[S II] 6731 100%	48.2520406218	0.476987486405	2.47528989041	0.498942615599	1.35721291206	118.435137716
red-0223-0382	0.0531001337766	0.000314354745426	[S II] 6731 100%	21.5706878509	0.249495179096	1.10655849739	1.31822956168	1.36068540647	499.928165608
red-0303-0531	0.04515807629	0.000150170374668	[S II] 6731 100%	21.1457322307	0.119102742169	1.08475862454	1.16332509749	1.25731559609	147.327969972
red-0506-0342	0.04185592601	0.000349590024372	[S II] 6731 100%	20.4102732811	0.275250349295	1.04703018696	1.21355549536	1.26635578691	74.4446587767
red-0344-0412	0.0443688691619	0.000274176331216	[S II] 6731 100%	19.0566360589	0.216783021858	0.977589713802	1.32641566864	1.32576620081	314.173926093
red-0145-0623	0.0420916566603	0.000175774685181	[S II] 6731 100%	19.3102534517	0.141061231941	0.990600076892	1.17372344633	1.25636898801	111.053035826
red-0278-0611	0.0546713445476	0.000604024078826	[S II] 6731 100%	25.3245672484	0.485101561402	1.29912941466	1.39362484442	1.45490675619	538.815899634
red-0217-0381	0.0596841310736	0.000200867204343	[S II] 6731 100%	23.7645773488	0.159342594687	1.21910321933	1.2810980054	1.38328063992	294.326397715
red-0309-0532	0.0488617896029	0.000320814947928	[S II] 6731 100%	22.3469225714	0.253599491886	1.14637869839	1.31026993017	1.40443443065	270.195259616
red-0482-0292	0.0662124301108	0.000498017388794	[S II] 6731 100%	28.2577876005	0.39354339645	1.44960119969	1.28530560431	1.3549990749	367.694072671
red-0517-0532	0.0283133654132	0.000189033461391	[S II] 6731 100%	13.7052924471	0.148699504982	0.703070199769	1.12614568302	1.17935410027	223.292681497
red-0551-0532	0.0411604626966	0.000347602282454	[S II] 6731 100%	21.2269469491	0.279398864722	1.08892487261	1.24547342003	1.30354515936	197.639719021
red-0320-0501	0.043972823977	0.000252635391128	[S II] 6731 100%	20.4436014919	0.201149983728	1.04873989668	1.16446965851	1.29607329345	141.93249458
red-0145-0743	0.0405962813002	0.000157366370864	[S II] 6731 100%	20.5920069143	0.124559350836	1.05635297246	1.09677902534	1.34626808326	84.7114811843
red-0249-0743	0.037605525127	0.0001532780413	[S II] 6731 100%	19.6444073497	0.121551471047	1.00774189628	1.05690401195	1.25813999893	95.8207517372
red-0217-0441	0.06077547911	0.000271261842752	[S II] 6731 100%	24.732703056	0.216464997316	1.26876726969	1.23780884701	1.3452504541	234.129826401
red-0296-0701	0.0427954716548	0.000319590336869	[S II] 6731 100%	21.2631535632	0.255478597078	1.09078224205	1.34281734354	1.42128269563	416.462857234
red-0320-0620	0.0226268829484	9.87254279514e-05	[S II] 6731 100%	10.8177916266	0.0785558163985	0.554943789007	1.41701550123	1.47667082272	151.757850853
red-0327-0562	0.0448861966612	0.000459944421184	[S II] 6731 100%	21.1043883855	0.383949757904	1.08263771937	1.25765440629	1.31954441423	231.680014924
red-0352-0444	0.040677322187	0.000174049911853	[S II] 6731 100%	18.781462319	0.14005462206	0.96347352788	1.04941106782	1.27878613288	88.4965807531
red-0130-0411	0.0687264870281	0.000384876494878	[S II] 6731 100%	28.4356000939	0.30496656212	1.45872283396	0.915265497718	1.37564373482	225.506742083
red-0413-0532	0.0322197112006	0.000237295502309	[S II] 6731 100%	15.7421053753	0.188543007248	0.807557023227	1.23361469947	1.25532567755	208.713671225
red-0192-0402	0.0740259833631	0.000682959393714	[S II] 6731 100%	29.9153661651	0.553031003984	1.53463361305	1.39786604789	1.48037444444	847.744322655
red-0234-0710	0.0390349876322	0.000119690508431	[S II] 6731 100%	19.6426243483	0.0955236229673	1.00765042978	1.18109029599	1.27413140816	157.152892284
red-0180-0504	0.0610166723861	0.000234104497462	[S II] 6731 100%	25.5049120714	0.186383066849	1.30838095534	1.11036138328	1.39460811909	168.443694483
red-0404-0593	0.0521146025117	0.000369614190652	[S II] 6731 100%	25.6554547372	0.300428984242	1.31610366995	1.01709028258	1.27379103963	95.1017398959
red-0413-0352	0.0442194236914	0.000214143201899	[S II] 6731 100%	19.7376889126	0.174383120041	1.01252716353	1.33424668202	1.35152559298	243.802385314
red-0244-0671	0.0481997009026	0.00020191034712	[S II] 6731 100%	23.5442485401	0.164667605493	1.20780053315	1.35343800598	1.46246758528	494.947991794
red-0162-0354	0.0547074332137	0.000246628997849	[S II] 6731 100%	22.6442013168	0.197435183114	1.16162885286	1.19314096041	1.32405234688	155.191209328
red-0249-0563	0.0445963540251	0.000218603107372	[S II] 6731 100%	20.2402538473	0.174578856329	1.03830833022	1.1501548419	1.28545356287	110.273164437
red-0244-0372	0.0602735283403	0.000371692157526	[S II] 6731 100%	23.7946731621	0.297794771008	1.22064710973	1.49840077055	1.59851574024	856.442816156
red-0249-0205	0.0790116891099	0.000354716042911	[S II] 6731 100%	31.5620842104	0.28136399968	1.61910889072	1.04259194572	1.21960222486	307.902269697
