Section	Sum(E/W)	dSum	Strongest	E5007	dE5007	E/W 5007	k5007	kk5007	F5007
S30-12	0.0328659115876	0.000831705159017	[O III] 4959 99%	1950.810055	14.1592745813	26.9703557047	1.06534407494	2.61562700506	4353.59957538
S30-13	0.029431971851	0.000774775538438	[O III] 4959 99%	1760.38997776	13.8907983365	24.3377584392	1.07090736794	2.66782482908	3525.96118811
S30-10	0.0314448815112	0.000809829195987	[O III] 4959 99%	1871.36082502	13.3386394517	25.8719535372	1.06842788249	2.54095501436	4028.10483748
S30-11	0.0254090113039	0.000572097922873	[O III] 4959 100%	1512.17229275	11.2666898185	20.9060971968	1.08174620209	2.33405531028	3241.40826915
S30-16	0.0434753540682	0.00120349121926	[O III] 4959 99%	2617.70123333	22.6847183724	36.190265275	0.996516965742	2.9955491412	5940.18115161
S30-17	0.0388249616814	0.000998954834686	[O III] 4959 100%	2345.19300139	19.7456315129	32.4227821574	0.998893766974	2.57037671473	6402.13780402
S30-14	0.0371669034498	0.000914195787696	[O III] 4959 100%	2166.06958674	17.3582895914	29.9463636072	1.01779593572	2.72091222999	4590.91178403
S30-15	0.0419760154804	0.00108357818823	[O III] 4959 100%	2520.70452606	20.9047012362	34.8492655756	1.01444911092	2.86120653918	5998.38768009
S30-18	0.034444183726	0.000890608037334	[O III] 4959 100%	2084.74299365	17.2555534077	28.8220065032	1.00581442901	2.41728595148	7020.03391909
S30-19	0.0303629704023	0.000735635933488	[O III] 4959 100%	1829.03323716	14.4349782303	25.2867658108	0.999115085839	2.19150266421	6718.10349678
S60-04	0.00550096590094	0.000102087388272	[O III] 4959 99%	329.005941846	1.9151622068	4.5485757354	1.15421117684	1.57310973462	559.040681365
S30-23	0.0296422678434	0.000646138643508	[O III] 4959 100%	1762.40018498	12.4816435015	24.3655499731	1.03598204462	2.39618705066	2770.40744951
S60-06	0.00607588710354	0.000112106001282	[O III] 4959 99%	361.371687483	2.13513667495	4.99603891628	1.11014539874	1.58359569802	712.270095988
S90-08	0.00499553733577	0.000106352802898	[O III] 4959 100%	300.246785055	1.94628164587	4.15097439722	1.15125156527	1.60245928306	733.290321695
S60-00	0.00653261531664	0.000152215427903	[O III] 4959 100%	394.563165223	3.0399139925	5.45491801561	1.1332744796	1.61077343207	427.867278119
S60-01	0.00696878196998	0.00017211327676	[O III] 4959 100%	409.362829787	3.2892887071	5.65952646357	1.09629351567	1.72520041748	458.736330535
S60-02	0.00590286192095	0.000135348664616	[O III] 4959 100%	359.617630975	2.62494609147	4.97178871938	1.14498474978	1.69728174908	455.141242812
S60-30	0.0181530260756	0.000341957629879	[O III] 4959 100%	1084.14353834	6.62953244533	14.9885104339	1.11240053708	2.03452486504	600.637986533
S90-03	0.00577453195557	0.00010034926365	[O III] 4959 99%	350.595919499	2.01172903069	4.84706167742	1.16080015362	1.50959862174	500.0966021
S90-02	0.00476015361921	0.000109171501568	[O III] 4959 100%	292.842878555	1.8327649785	4.04861384633	1.18776365986	1.56461414897	367.234768828
S90-01	0.00471211563169	0.000121961448251	[O III] 4959 100%	279.307875192	2.18774701487	3.86148960314	1.16970523332	1.5442075136	329.236550768
S90-00	0.00490705638903	0.000108508307959	[O III] 4959 100%	299.041563087	2.18186386103	4.13431195226	1.15698607202	1.56000718318	322.867663019
S90-07	0.00465457197109	9.06006784988e-05	[O III] 4959 100%	281.31752847	1.7649459241	3.88927347866	1.15226965895	1.50146838098	549.698308158
S60-09	0.0246509412919	0.000542018162053	[O III] 4959 100%	1474.8229096	9.51231724118	20.3897341883	1.04330431926	2.10437063987	4184.12974609
S90-05	0.00379466173946	8.00895812619e-05	[O III] 4959 100%	226.889675469	1.32116001192	3.1367970641	1.18222761594	1.43726434748	448.217246097
S90-04	0.00465064135946	7.62089639339e-05	[O III] 4959 100%	278.248943698	1.51093542509	3.84684965446	1.17955300567	1.45366429832	485.310175884
S60-32	0.0139397604454	0.00040925962354	[O III] 4959 100%	851.37838391	6.86146223191	11.7704836483	1.13999672251	1.94081070419	410.488166695
S30-27	0.0191911750741	0.000365571335115	[O III] 4959 100%	1147.7402713	7.24650841496	15.8677485255	1.12308339778	2.16073757304	923.842008078
S90-11	0.0110883859184	0.000254821033526	[O III] 4959 100%	663.825295334	4.83459998719	9.17752309872	1.08561348576	1.71615435696	1880.25509919
S90-12	0.0205689940773	0.00048753145433	[O III] 4959 100%	1222.08658542	8.62165755723	16.8956018175	1.07050076376	1.97881511472	3293.97515573
S90-13	0.0246563648471	0.00060475924026	[O III] 4959 100%	1497.90618469	11.8425330884	20.7088652788	1.05291757551	2.2003337872	3397.6085794
S90-15	0.0283305479127	0.000715400119882	[O III] 4959 100%	1697.52853944	14.0037717389	23.4686859493	1.06103685845	2.38645276531	4025.50626298
S30-29	0.0220483104041	0.000382505658623	[O III] 4959 100%	1304.05704779	7.43115440866	18.0288605485	1.12336537241	2.18735878956	862.080807828
S30-28	0.0201540177337	0.000369445695097	[O III] 4959 100%	1208.98200824	6.73549993846	16.714428306	1.11979153658	2.24323831637	888.053347799
S90-18	0.0379313119136	0.000950281191799	[O III] 4959 100%	2278.27342622	18.5744008145	31.4976050797	1.01914401011	2.58085193376	4395.49921107
S90-19	0.0409974194116	0.000981307487674	[O III] 4959 100%	2449.5234513	19.350462525	33.8651723776	1.02125197933	2.53277052722	5369.77748449
S90-14	0.0264837665372	0.000736580742423	[O III] 4959 99%	1539.69937012	12.247980025	21.2866647802	1.04604894765	2.35908558434	3532.05335039
S30-22	0.0315254430144	0.000687943406584	[O III] 4959 100%	1868.44400181	13.4515794931	25.8316278482	1.03515377902	2.3482011833	3945.10229471
S30-21	0.0327259462429	0.000790234702296	[O III] 4959 100%	1937.14493938	14.2955745608	26.7814326325	1.04251846972	2.45378317069	4692.93576308
S30-20	0.0295168011416	0.000742056722859	[O III] 4959 100%	1762.02427614	14.0228679252	24.360352955	1.03847589306	2.40087305082	5000.26929664
S90-10	0.00900221005676	0.000185599939998	[O III] 4959 100%	535.660182425	3.64543613042	7.40561369358	1.11166862393	1.65759887145	1463.67320852
S30-26	0.0221679557425	0.00041472798756	[O III] 4959 100%	1316.53892247	8.12422399416	18.2014250681	1.07811337802	2.31330620857	1099.27221256
