# -*- mode: tsv; tsv-header: (["Section" 0 8 6 7 6.01 show] ["Sum(E/W)" 1 8 8 15 14.81 show] ["dSum" 2 8 4 17 15.51 show] ["Strongest" 3 8 9 17 13.69 show] ["E5755" 4 8 5 13 12.77 show] ["dE5755" 5 8 3 14 12.74 show] ["E/W 5755" 6 8 8 16 15.69 show] ["k5755" 7 8 5 14 13.66 show] ["kk5755" 8 8 6 14 13.56 show] ["F5755" 9 8 5 14 12.85 show]); tsv-separator-char: "	"; tsv-comment-char: "#"; tsv-has-header-p: t -*-
Section	Sum(E/W)	dSum	Strongest	E5755	dE5755	E/W 5755	k5755	kk5755	F5755
S30-00	0.0376558182258	0.00866334510576	[Fe III] 5270 33%	4.83279790896	1.68236927231	0.0053704080493	0.933796607218	0.868251068252	4.08731907719
S30-01	0.0163462099378	0.137698247901	He I 5876 24%	2.45627524788	0.826098888559	0.00272951623697	0.936329447927	0.910356451851	2.36113312871
S30-02	0.0199874922587	0.00093349974141	[Fe III] 5270 45%	2.2256277377	0.557743062893	0.00247321103477	0.940923338721	0.902173198804	2.17454079286
S30-03	0.0303704242394	0.00396484656417	[N I] 5199 32%	3.65376477221	0.464202399239	0.00406021689973	0.948558819679	0.91703923977	4.34900954673
S30-04	0.0214067733428	0.00287868206068	He I 5876 25%	4.14337851597	0.454517031149	0.00460429625915	0.945453546136	0.928885951212	5.17773017906
S30-05	0.0295943281418	0.00355387595919	[Cl III] 5518 25%	5.6174921802	0.413296435404	0.00624239328641	0.964120227167	0.963603374039	8.90614131608
S30-06	0.0338696240667	0.0108203057479	He I 5876 28%	8.62236900567	0.368237312449	0.00958153864167	0.98031374605	0.985163305344	16.4149311923
S30-07	0.032422023045	0.00659154552979	He I 5876 36%	7.10644863367	0.377386728938	0.00789698424456	0.977579528059	0.988361563928	14.3170390334
S30-08	0.0300953681003	0.00298019828733	He I 5876 41%	4.3614316723	0.375463973013	0.00484660608629	0.978899934569	0.971560300328	8.35747483577
S30-09	0.0308608984387	0.00386107476743	He I 5876 37%	2.17562317487	0.344703398426	0.002417643864	0.992902664434	0.986398979833	3.57799943188
S30-10	0.0319243796281	0.00430495168386	He I 5876 38%	2.24480311869	0.377362089519	0.00249451952364	0.985483412376	0.995730252004	3.87767202925
S30-11	0.0274213712117	0.00560962471166	He I 5876 36%	3.5146732816	0.431264313358	0.0039056525925	0.975319808222	0.97376521039	5.90902540071
S30-12	0.0323438972564	0.00231419677115	He I 5876 38%	4.04986306757	0.490464779789	0.00450037796455	0.986709546891	0.990137262754	7.28189717096
S30-13	0.028798333318	0.00299917552673	He I 5876 38%	4.13984748676	0.457031519464	0.00460037243116	0.983366836081	0.98564803727	6.62326338022
S30-14	0.0358948455601	0.0130859198247	He I 5876 34%	2.8955469561	0.4175222553	0.00321765341177	1.00844288513	1.00453355925	5.29009478583
S30-15	0.0388298958102	0.0109334236352	He I 5876 34%	3.8943585082	0.546769696876	0.00432757476585	1.00978873546	1.00917818138	8.02536652695
S30-16	0.0373206646808	0.00180401422675	He I 5876 35%	3.44913883847	0.490336487472	0.00383282796637	1.02075833852	1.02517240394	6.97494095827
S30-17	0.0425035519936	0.00507764587552	He I 5876 30%	10.0358774921	0.700673234534	0.0111522886494	1.01812159935	1.02099142814	24.2945867521
