Section	Sum(E/W)	dSum	Strongest	ENone	dENone	E/W None	kNone	kkNone	FNone
S30-12	0.107069964195	0.382497666821	C II 6462 79%	0.0	0.0	0.0	1.0	1.0	0.0
S30-13	0.0687307229022	0.418435701146	C II 6462 81%	0.0	0.0	0.0	1.0	1.0	0.0
S30-10	0.00637215510655	0.129801077005	C II 6455 31%	0.0	0.0	0.0	1.0	1.0	0.0
S30-11	0.0132971314886	33.1313625436	C II 6462 83%	0.0	0.0	0.0	1.0	1.0	0.0
S30-16	0.137987942541	32.425764938	C II 6455 79%	0.0	0.0	0.0	1.0	1.0	0.0
S30-17	0.0608522719599	0.172192022878	C II 6455 53%	0.0	0.0	0.0	1.0	1.0	0.0
S30-14	0.088443885914	0.409596810343	C II 6455 53%	0.0	0.0	0.0	1.0	1.0	0.0
S30-15	0.0714374911301	0.547682682315	C II 6462 70%	0.0	0.0	0.0	1.0	1.0	0.0
S30-18	1.17092199647	35.5491984405	C II 6462 58%	0.0	0.0	0.0	1.0	1.0	0.0
S30-19	0.0680325118335	1.30320088068	C II 6455 62%	0.0	0.0	0.0	1.0	1.0	0.0
S60-04	0.20388003646	0.338531516015	C II 6462 62%	0.0	0.0	0.0	1.0	1.0	0.0
S30-23	0.0631636751181	0.774077545315	C II 6455 87%	0.0	0.0	0.0	1.0	1.0	0.0
S60-06	0.0794451232829	0.213020019988	C II 6462 97%	0.0	0.0	0.0	1.0	1.0	0.0
S90-08	0.977098425359	1.7996126122	C II 6455 75%	0.0	0.0	0.0	1.0	1.0	0.0
S60-00	0.102068331518	1.78646824373	C II 6455 78%	0.0	0.0	0.0	1.0	1.0	0.0
S60-01	0.0195878912078	0.226576248228	C II 6455 88%	0.0	0.0	0.0	1.0	1.0	0.0
S60-02	0.0845590158579	0.214166659996	C II 6455 68%	0.0	0.0	0.0	1.0	1.0	0.0
S60-30	0.0989438110468	9.6383831963	C II 6462 63%	0.0	0.0	0.0	1.0	1.0	0.0
S90-03	0.0177853914582	0.147103458768	C II 6462 90%	0.0	0.0	0.0	1.0	1.0	0.0
S90-02	0.0548687477385	1.95544618377	C II 6455 93%	0.0	0.0	0.0	1.0	1.0	0.0
S90-01	0.781218379558	0.133577920649	C II 6455 100%	0.0	0.0	0.0	1.0	1.0	0.0
S90-00	0.0210844401285	0.173089589017	C II 6462 82%	0.0	0.0	0.0	1.0	1.0	0.0
S90-07	0.197765360292	0.68106949262	C II 6455 79%	0.0	0.0	0.0	1.0	1.0	0.0
S60-09	0.457447552918	10.6285302949	C II 6462 53%	0.0	0.0	0.0	1.0	1.0	0.0
S90-05	0.101970655953	10.9365571998	C II 6455 96%	0.0	0.0	0.0	1.0	1.0	0.0
S90-04	0.064719212321	0.229569858364	C II 6455 83%	0.0	0.0	0.0	1.0	1.0	0.0
S60-32	0.0104701196337	4.03771991769	C II 6462 59%	0.0	0.0	0.0	1.0	1.0	0.0
S30-27	0.215673189976	8.68820165306	C II 6455 67%	0.0	0.0	0.0	1.0	1.0	0.0
S90-11	0.0732371424989	0.198882630492	C II 6455 75%	0.0	0.0	0.0	1.0	1.0	0.0
S90-12	0.0608990073898	0.221756795754	C II 6455 56%	0.0	0.0	0.0	1.0	1.0	0.0
S90-13	0.103089119487	0.47171592382	C II 6455 96%	0.0	0.0	0.0	1.0	1.0	0.0
S90-15	0.0705096922897	24.014246776	C II 6462 91%	0.0	0.0	0.0	1.0	1.0	0.0
S30-29	0.0319905890082	0.227189966069	C II 6462 94%	0.0	0.0	0.0	1.0	1.0	0.0
S30-28	0.040704119311	4.23885593932	C II 6462 65%	0.0	0.0	0.0	1.0	1.0	0.0
S90-18	0.0583285886708	0.948098026483	C II 6462 95%	0.0	0.0	0.0	1.0	1.0	0.0
S90-19	0.0144608883763	1.07611272094	C II 6455 46%	0.0	0.0	0.0	1.0	1.0	0.0
S90-14	0.0816524608435	3.98728089195	C II 6462 85%	0.0	0.0	0.0	1.0	1.0	0.0
S30-22	0.252104828024	8.75304139612	C II 6462 50%	0.0	0.0	0.0	1.0	1.0	0.0
S30-21	0.0633521920611	0.317264393396	C II 6462 96%	0.0	0.0	0.0	1.0	1.0	0.0
S30-20	0.0354052579155	0.481755154467	C II 6462 74%	0.0	0.0	0.0	1.0	1.0	0.0
S90-10	0.0705783541872	0.346344302647	C II 6455 51%	0.0	0.0	0.0	1.0	1.0	0.0
S30-26	0.065889441105	24.396827054	C II 6462 68%	0.0	0.0	0.0	1.0	1.0	0.0
S30-25	0.0557566565191	1.02147932525	C II 6462 83%	0.0	0.0	0.0	1.0	1.0	0.0
S30-24	0.683515333313	7.87109519235	C II 6462 53%	0.0	0.0	0.0	1.0	1.0	0.0
S90-16	0.0437151489244	0.297010517869	C II 6455 54%	0.0	0.0	0.0	1.0	1.0	0.0
S60-05	0.119197559317	0.214807814619	C II 6455 55%	0.0	0.0	0.0	1.0	1.0	0.0
S90-09	0.149367808446	32.9754556995	C II 6455 83%	0.0	0.0	0.0	1.0	1.0	0.0
S60-29	0.104486351202	0.21701019511	C II 6462 77%	0.0	0.0	0.0	1.0	1.0	0.0
S60-07	0.0573463917623	0.262183209386	C II 6455 95%	0.0	0.0	0.0	1.0	1.0	0.0
S90-21	0.0847993219898	0.655669763657	C II 6455 87%	0.0	0.0	0.0	1.0	1.0	0.0
S90-20	0.0464717838997	0.152119752968	C II 6462 48%	0.0	0.0	0.0	1.0	1.0	0.0
S90-23	0.497806436242	4.23753735882	C II 6455 56%	0.0	0.0	0.0	1.0	1.0	0.0
S90-22	0.366489365974	634.660782987	C II 6462 60%	0.0	0.0	0.0	1.0	1.0	0.0
S90-25	0.0335002929714	0.124773185692	C II 6455 73%	0.0	0.0	0.0	1.0	1.0	0.0
S90-24	0.0629153517181	15.5800038891	C II 6455 72%	0.0	0.0	0.0	1.0	1.0	0.0
S90-27	0.314670099296	0.777967734069	C II 6455 56%	0.0	0.0	0.0	1.0	1.0	0.0
S90-26	0.0485768735896	0.35014744173	C II 6455 93%	0.0	0.0	0.0	1.0	1.0	0.0
S90-29	0.0477502473399	0.113865415036	C II 6455 60%	0.0	0.0	0.0	1.0	1.0	0.0
S90-28	0.0408860530606	0.283543584581	C II 6455 80%	0.0	0.0	0.0	1.0	1.0	0.0
S60-03	0.0602913834715	5.83863674966	C II 6455 97%	0.0	0.0	0.0	1.0	1.0	0.0
S90-30	0.714125136223	1.74412513675	C II 6462 97%	0.0	0.0	0.0	1.0	1.0	0.0
S60-08	0.198623060561	0.801273550057	C II 6455 74%	0.0	0.0	0.0	1.0	1.0	0.0
S60-28	0.0828191377333	0.362079913462	C II 6455 88%	0.0	0.0	0.0	1.0	1.0	0.0
S90-31	0.151824740694	1.06589920932	C II 6455 69%	0.0	0.0	0.0	1.0	1.0	0.0
S60-22	0.0241652994368	0.254845040366	C II 6455 71%	0.0	0.0	0.0	1.0	1.0	0.0
S60-23	0.468490800819	0.559192701789	C II 6455 99%	0.0	0.0	0.0	1.0	1.0	0.0
S60-20	0.336829808113	1.96108854259	C II 6455 98%	0.0	0.0	0.0	1.0	1.0	0.0
S60-21	0.210273505135	0.681528020915	C II 6455 62%	0.0	0.0	0.0	1.0	1.0	0.0
S60-26	0.0523801507374	22.0594495112	C II 6462 60%	0.0	0.0	0.0	1.0	1.0	0.0
S60-27	0.0381603969619	0.700160927719	C II 6462 90%	0.0	0.0	0.0	1.0	1.0	0.0
S60-24	0.252897149005	6.6303776104	C II 6455 73%	0.0	0.0	0.0	1.0	1.0	0.0
S60-25	0.0239609144353	0.715318635534	C II 6462 85%	0.0	0.0	0.0	1.0	1.0	0.0
S30-30	0.118650088427	0.171029742902	C II 6462 86%	0.0	0.0	0.0	1.0	1.0	0.0
S90-06	0.133022411207	0.240497287205	C II 6455 61%	0.0	0.0	0.0	1.0	1.0	0.0
S30-09	0.0854022478162	0.551705780404	C II 6462 76%	0.0	0.0	0.0	1.0	1.0	0.0
S30-32	0.311852604366	0.217680816053	C II 6462 69%	0.0	0.0	0.0	1.0	1.0	0.0
S90-32	0.551878169858	0.516877733024	C II 6455 95%	0.0	0.0	0.0	1.0	1.0	0.0
S30-00	0.372078251483	1.77040992447	C II 6455 98%	0.0	0.0	0.0	1.0	1.0	0.0
S30-03	0.0553188850395	11.7825023326	C II 6462 80%	0.0	0.0	0.0	1.0	1.0	0.0
S30-02	0.200792199652	2.87199752751	C II 6455 51%	0.0	0.0	0.0	1.0	1.0	0.0
S30-05	0.0417922744657	0.1335736888	C II 6455 79%	0.0	0.0	0.0	1.0	1.0	0.0
S30-04	0.0260299005285	0.126294211281	C II 6455 89%	0.0	0.0	0.0	1.0	1.0	0.0
S30-07	0.0411366625501	0.103729987795	C II 6462 50%	0.0	0.0	0.0	1.0	1.0	0.0
S30-06	0.107436511239	0.306426652069	C II 6462 94%	0.0	0.0	0.0	1.0	1.0	0.0
S30-31	0.912468437024	105.836718064	C II 6455 98%	0.0	0.0	0.0	1.0	1.0	0.0
S30-08	0.0756219965836	0.574853866403	C II 6455 92%	0.0	0.0	0.0	1.0	1.0	0.0
S60-13	0.132922441557	24.4080448134	C II 6462 84%	0.0	0.0	0.0	1.0	1.0	0.0
S60-12	0.112138779421	0.426384382298	C II 6462 93%	0.0	0.0	0.0	1.0	1.0	0.0
S60-11	0.0447360230298	1.08952786753	C II 6455 87%	0.0	0.0	0.0	1.0	1.0	0.0
S60-10	0.090594248236	8.04828724954	C II 6462 66%	0.0	0.0	0.0	1.0	1.0	0.0
