Section	Sum(E/W)	dSum	Strongest	E6731	dE6731	E/W 6731	k6731	kk6731	F6731
S30-12	0.015470445099	0.000287518916976	[S II] 6716 99%	46.2679814039	0.574004888379	2.61707336557	1.07234931825	1.33425830658	77.3033799759
S30-13	0.015129150465	0.000260988296486	[S II] 6716 99%	44.9698746653	0.521568542069	2.54364806219	1.0578697002	1.35114701704	66.1769806475
S30-10	0.0120966047295	0.000204757817575	[S II] 6716 99%	33.7146489504	0.407102354316	1.90701446487	1.06812241989	1.31139467246	53.9604277277
S30-11	0.0149342200148	0.000229928144049	[S II] 6716 99%	41.5466605863	0.464489097546	2.350019507	1.01754159488	1.26778656723	62.3060637099
S30-16	0.0106697710736	0.000253496444634	[S II] 6716 99%	38.6932561076	0.530219876927	2.18862130816	1.20107856456	1.45699739589	78.7125239431
S30-17	0.0137120970275	0.000315420876557	[S II] 6716 99%	54.8243410203	0.659339108261	3.10104997701	1.18633112206	1.39593468769	132.206779961
S30-14	0.0126440680928	0.000304569910465	[S II] 6716 99%	39.0319775614	0.617320867835	2.20778053812	1.09850676142	1.37790643061	66.4096991903
S30-15	0.0119692863521	0.000288256626254	[S II] 6716 99%	39.6238946366	0.576424896433	2.24126136795	1.13601381826	1.38522109074	78.5356433454
S30-18	0.0174732977943	0.000322703998331	[S II] 6716 99%	73.3543414444	0.647141589678	4.14916941302	1.15689478039	1.34995525042	211.321467185
S30-19	0.0179467874994	0.000311268487261	[S II] 6716 99%	76.4497973685	0.634225138442	4.32425885949	1.13416416554	1.35645437204	237.083047634
S60-04	0.0333677251487	0.00028261304514	[S II] 6716 100%	82.5568431435	0.566883873994	4.66969400395	0.869863314024	1.13889955477	78.6311039381
S30-23	0.0193440503137	0.000230424310697	[S II] 6716 100%	60.327851573	0.46589150238	3.41234712998	1.07602678232	1.35502780623	73.262679198
S60-06	0.038355258756	0.000305043110062	[S II] 6716 100%	121.041938056	0.634110195566	6.84654101156	0.893392674921	1.1711954175	142.794869267
S90-08	0.023282291646	0.000165954004916	[S II] 6716 100%	66.7772572333	0.337882332876	3.77714730637	0.823441174374	1.00999775176	86.7599240058
