PA	Section	x0	F487N	F658N	F469N	FQ674N	FQ575N	F656N	F502N	FQ436N	FQ437N	F547M	FQ672N	F673N
-90	S30-15	-12.35	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
-90	S30-16	0.65	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
-90	S30-17	13.65	nan	nan	nan	nan	nan	nan	nan	0.322915996453	0.153506122141	nan	nan	nan
-90	S30-18	26.65	4.75375968903	6.95336461188	0.253251305802	0.528888611427	0.225406450166	21.6637291002	11.6455782001	0.43373750639	0.186042835168	4.43502713685	0.39607519737	1.55871635429
-90	S30-19	39.65	3.43413979639	4.27439164885	0.195097348859	0.359081267471	0.152399651589	15.4648002115	8.66109777463	0.336620970036	0.137736150046	3.26383757847	0.290453353971	1.08584831333
-90	S30-20	52.65	2.52607827278	2.24563230419	0.16079505941	0.23503045817	0.0935600116712	10.3838163518	7.08540691426	0.279842152131	0.11458107115	2.51482666549	0.209664811553	0.750205644317
-90	S30-21	65.65	2.47050122988	1.99270904659	0.150654707891	0.223875271958	0.0990671547188	10.3336822876	7.14118933572	0.420263230688	0.107460669119	2.35565228397	0.215742391227	0.72159588153
-90	S30-22	78.65	1.98641223722	1.65019005517	0.119166074582	0.192684002481	0.214761539729	8.22315716721	5.26625672168	nan	nan	1.83820738551	0.211290730882	0.604541499271
-90	S30-23	91.65	1.31012876264	0.871593200737	0.0917759753185	nan	nan	5.3057308876	3.46750575645	nan	nan	1.31819823576	nan	0.415724226732
-90	S30-24	104.65	1.07796220875	0.866960097485	0.0746381713432	nan	nan	4.35147912243	2.62114640716	nan	nan	1.08772303959	nan	0.37640328878
-90	S60-15	-12.35	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
-90	S60-16	0.65	nan	nan	nan	0.20815065863	0.0783344073087	nan	nan	nan	nan	nan	0.172769139399	nan
-90	S60-17	13.65	nan	nan	nan	0.22534312641	0.0898208188976	nan	nan	0.260554603678	0.12751322806	nan	0.2040366046	nan
-90	S60-18	26.65	2.57221807346	2.15044514247	0.160355301352	0.21497038148	0.0844593213139	11.1145692596	7.46896561748	0.262214293941	0.115821819332	2.67940609931	0.194579387465	0.77163707007
-90	S60-19	39.65	1.93236214746	1.68273891468	0.124119479041	0.176012630854	0.0647762761527	8.34385204309	5.4750295485	0.206711784456	0.0895521885752	1.97536348897	0.163378470568	0.586432902564
-90	S60-20	52.65	1.50873647892	1.24484021733	0.10846565573	0.143829628234	0.0528054469284	6.45918060993	4.0480004975	0.175271459909	0.0770141825447	1.63271338656	0.140864759267	0.473843952637
-90	S60-21	65.65	1.21217004256	0.887789337862	0.0869070748821	0.115534210012	0.058923794594	5.2271172822	3.2303160639	0.145440363645	0.0691451490965	1.28202277897	0.118712725219	0.38339762377
-90	S60-22	78.65	1.17821332071	0.910003501271	0.0776452545352	nan	nan	4.94970301955	3.08787993567	0.307435733995	nan	1.13927635316	nan	0.361242648907
-90	S60-23	91.65	1.0334088676	0.731851525669	0.069418936126	nan	nan	4.26090502012	2.6755436224	nan	nan	1.00257782902	nan	0.31511117905
-90	S60-24	104.65	0.785466256306	0.522968573984	0.053848358809	nan	nan	3.26056229115	1.95657965973	nan	nan	0.761380396408	nan	0.252147341255
-90	S90-15	-12.35	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
-90	S90-16	0.65	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
-90	S90-17	13.65	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
-90	S90-18	26.65	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
-90	S90-19	39.65	2.56541804934	1.50766029834	0.1426091773	nan	nan	11.5073327579	7.43205164765	nan	nan	2.36274796344	nan	0.696715513464
-90	S90-20	52.65	0.938419457437	0.642133238537	0.0761308348153	nan	nan	4.77025812736	2.62867596313	nan	0.0640836987133	1.164754953	nan	0.33557370863
-90	S90-21	65.65	0.374640376775	0.319829734295	0.0429821690731	nan	nan	2.11553288985	0.980110064812	nan	nan	0.614663888926	nan	0.17613259065
-90	S90-22	78.65	0.485779890421	0.360345035897	0.0436915720982	nan	nan	2.66640384915	1.30769373713	nan	nan	0.635837379482	nan	0.195552665985
-90	S90-23	91.65	0.893655327485	0.466707758098	0.0582414843502	nan	nan	4.05158970975	2.44156017354	nan	nan	0.85743054465	nan	0.256391336852
-90	S90-24	104.65	1.06325318449	0.472407605691	0.0605183022941	nan	nan	4.50440445217	2.92729050162	nan	nan	0.897441606441	nan	0.267873406615
