# label	mx	my	TooBig	Compact	Shadow	fillfac	aspect	contrast	skip?
1	11	282	True	False	False	0.947	25.636	6.984	*
2	15	283	True	False	False	0.919	18.867	65.384	*
3	13	282	True	False	False	0.872	21.692	15.492	*
4	7	13	True	False	False	0.758	1.857	1.903	 
5	6	4	False	False	False	1.000	1.500	2.167	 
6	3	4	False	False	False	1.000	1.333	2.866	 
7	4	3	False	False	False	1.000	1.333	6.828	 
8	4	3	False	False	False	1.000	1.333	1.980	 
9	4	3	False	False	False	1.000	1.333	1.756	 
10	7	9	True	True	False	0.921	1.286	1.386	*
11	4	3	False	False	False	1.000	1.333	13.827	 
12	6	6	True	True	False	0.833	1.000	1.780	*
13	3	6	False	False	True	1.000	2.000	0.863	 
14	3	4	False	False	False	1.000	1.333	12.090	 
15	3	4	False	False	False	1.000	1.333	7.995	 
16	6	7	True	False	False	0.786	1.167	1.699	 
17	4	4	False	True	False	1.000	1.000	7.559	 
18	3	4	False	False	False	1.000	1.333	2.994	 
19	3	4	False	False	False	1.000	1.333	1.778	 
20	5	4	False	True	False	0.950	1.250	71.842	 
21	4	3	False	False	False	1.000	1.333	71.443	 
22	10	8	True	False	False	0.688	1.250	1.605	 
23	4	4	False	True	False	1.000	1.000	24.981	 
24	9	8	True	False	False	0.542	1.125	1.746	 
25	5	6	False	True	False	0.867	1.200	1.017	 
26	4	4	False	True	False	1.000	1.000	1.740	 
27	3	3	False	True	False	1.000	1.000	4.166	 
28	6	4	False	False	False	0.958	1.500	1.338	 
29	4	3	False	False	False	1.000	1.333	8.081	 
30	11	104	True	False	False	0.752	9.455	2.572	*
31	3	4	False	False	False	1.000	1.333	1.010	 
32	7	5	False	False	False	0.829	1.400	1.231	 
33	5	4	False	True	False	0.950	1.250	1.339	 
34	4	3	False	False	False	1.000	1.333	1.207	 
35	3	4	False	False	False	1.000	1.333	1.811	 
36	3	4	False	False	False	1.000	1.333	4.127	 
37	4	4	False	True	False	1.000	1.000	57.336	 
38	3	4	False	False	False	1.000	1.333	4.674	 
39	4	3	False	False	False	1.000	1.333	3.189	 
40	9	17	True	False	False	0.601	1.889	1.697	 
41	4	3	False	False	False	1.000	1.333	1.910	 
42	3	3	False	True	False	1.000	1.000	4.046	 
43	11	14	True	True	False	0.812	1.273	2.033	*
44	4	5	False	True	False	0.900	1.250	1.219	 
45	8	8	True	True	False	0.828	1.000	1.523	*
46	4	4	False	True	True	1.000	1.000	-10.769	 
47	4	4	False	True	False	1.000	1.000	1.783	 
48	3	4	False	False	False	1.000	1.333	1.745	 
49	4	6	False	False	False	1.000	1.500	1.263	 
50	4	4	False	True	False	1.000	1.000	57.666	 
51	4	4	False	True	False	0.938	1.000	1.795	 
52	4	4	False	True	False	1.000	1.000	10.185	 
53	10	7	True	False	False	0.800	1.429	1.894	 
54	6	4	False	False	False	0.958	1.500	1.786	 
55	4	4	False	True	False	1.000	1.000	47.261	 
56	4	4	False	True	False	1.000	1.000	7.109	 
57	7	7	True	False	False	0.735	1.000	1.367	 
58	4	3	False	False	True	1.000	1.333	-7.287	 
59	3	4	False	False	False	1.000	1.333	2.043	 
60	4	4	False	True	False	1.000	1.000	1.665	 
61	8	6	True	False	False	0.875	1.333	1.774	 
62	10	8	True	True	False	0.863	1.250	1.766	*
63	3	3	False	True	False	1.000	1.000	7.855	 
64	3	4	False	False	False	1.000	1.333	4.055	 
65	4	3	False	False	False	1.000	1.333	11.949	 
66	4	4	False	True	False	0.938	1.000	1.696	 
67	4	4	False	True	False	0.938	1.000	11.766	 
68	4	4	False	True	False	1.000	1.000	16.514	 
69	3	3	False	True	False	1.000	1.000	12.340	 
70	9	17	True	False	False	0.817	1.889	1.965	 
71	4	4	False	True	False	0.938	1.000	1.522	 
72	3	4	False	False	False	1.000	1.333	31.567	 
73	4	5	False	True	False	0.900	1.250	1.957	 
74	3	4	False	False	False	1.000	1.333	2.647	 
75	3	4	False	False	False	1.000	1.333	16.619	 
76	3	4	False	False	False	1.000	1.333	11.320	 
77	4	3	False	False	False	1.000	1.333	4.503	 
78	5	4	False	True	False	0.950	1.250	2.009	 
79	4	4	False	True	False	0.938	1.000	1.390	 
80	3	4	False	False	False	1.000	1.333	1.891	 
81	9	4	False	False	False	0.917	2.250	1.848	 
82	4	4	False	True	False	0.938	1.000	1.198	 
83	4	4	False	True	False	1.000	1.000	7.514	 
84	4	4	False	True	False	0.938	1.000	1.539	 
85	4	5	False	True	False	0.900	1.250	1.450	 
86	3	4	False	False	False	1.000	1.333	10.224	 
87	5	9	False	False	False	0.778	1.800	1.560	 
88	9	11	True	False	False	0.798	1.222	1.355	 
89	3	4	False	False	False	1.000	1.333	1.753	 
90	7	6	True	False	False	0.500	1.167	2.571	 
91	4	3	False	False	False	1.000	1.333	7.925	 
92	10	7	True	False	False	0.586	1.429	1.480	 
93	4	4	False	True	True	1.000	1.000	-19.143	 
94	6	4	False	False	False	0.917	1.500	1.734	 
95	10	28	True	False	False	0.761	2.800	1.489	*
96	3	4	False	False	False	1.000	1.333	8.517	 
97	4	4	False	True	True	1.000	1.000	-9.283	 
98	4	3	False	False	False	1.000	1.333	16.326	 
99	4	3	False	False	True	1.000	1.333	-18.931	 
100	3	3	False	True	False	1.000	1.000	1.313	 
101	4	4	False	True	False	0.938	1.000	14.124	 
102	4	4	False	True	False	1.000	1.000	1.474	 
103	5	7	False	False	False	0.800	1.400	1.791	 
104	9	9	True	False	False	0.654	1.000	1.783	 
105	4	4	False	True	False	1.000	1.000	3.847	 
106	3	4	False	False	False	1.000	1.333	1.871	 
107	6	12	True	False	False	0.806	2.000	1.645	 
108	4	4	False	True	False	1.000	1.000	1.906	 
109	11	292	True	False	False	0.879	26.545	4.930	*
110	3	4	False	False	False	1.000	1.333	2.910	 
111	3	4	False	False	False	1.000	1.333	12.469	 
112	4	3	False	False	False	1.000	1.333	5.290	 
113	4	4	False	True	False	1.000	1.000	10.601	 
114	3	4	False	False	False	1.000	1.333	5.635	 
115	4	4	False	True	False	1.000	1.000	63.111	 
116	3	4	False	False	False	1.000	1.333	5.031	 
117	4	4	False	True	False	1.000	1.000	10.252	 
118	3	4	False	False	False	1.000	1.333	3.836	 
119	4	3	False	False	False	1.000	1.333	8.837	 
120	8	8	True	False	False	0.484	1.000	1.378	 
121	10	11	True	True	False	0.809	1.100	1.636	*
122	4	4	False	True	True	1.000	1.000	-13.781	 
123	3	4	False	False	False	1.000	1.333	2.855	 
124	4	4	False	True	False	0.938	1.000	1.327	 
125	4	4	False	True	False	1.000	1.000	7.330	 
126	4	4	False	True	False	0.938	1.000	1.516	 
127	3	4	False	False	False	1.000	1.333	4.388	 
128	9	10	True	True	False	0.822	1.111	1.741	*
129	6	10	True	False	False	0.783	1.667	1.356	 
130	6	6	True	True	False	0.861	1.000	1.211	*
131	9	10	True	False	False	0.611	1.111	1.566	 
132	11	7	True	False	False	0.779	1.571	1.421	 
133	4	4	False	True	False	1.000	1.000	2.521	 
134	3	4	False	False	False	1.000	1.333	3.473	 
135	3	4	False	False	False	1.000	1.333	12.592	 
136	4	3	False	False	False	1.000	1.333	1.701	 
137	3	3	False	True	False	1.000	1.000	1.122	 
138	3	4	False	False	False	1.000	1.333	2.614	 
139	4	3	False	False	True	1.000	1.333	0.684	 
140	3	4	False	False	False	1.000	1.333	1.386	 
141	3	4	False	False	False	1.000	1.333	8.720	 
142	3	4	False	False	False	1.000	1.333	2.293	 
143	4	3	False	False	False	1.000	1.333	2.437	 
144	5	4	False	True	False	1.000	1.250	1.437	 
145	10	51	True	False	False	0.843	5.100	2.062	*
146	3	4	False	False	False	1.000	1.333	3.260	 
147	3	4	False	False	False	1.000	1.333	1.984	 
148	4	5	False	True	True	0.950	1.250	0.675	 
149	4	3	False	False	False	1.000	1.333	1.813	 
150	4	7	False	False	False	0.893	1.750	1.153	 
151	9	30	True	False	False	0.770	3.333	1.724	*
152	3	3	False	True	False	1.000	1.000	107.874	 
153	4	4	False	True	False	1.000	1.000	12.796	 
154	3	3	False	True	True	1.000	1.000	0.714	 
155	3	4	False	False	False	1.000	1.333	1.660	 
156	4	4	False	True	True	1.000	1.000	0.741	 
157	6	11	True	False	False	0.773	1.833	1.348	 
158	4	3	False	False	False	1.000	1.333	2.819	 
159	4	4	False	True	False	1.000	1.000	4.142	 
160	3	4	False	False	False	1.000	1.333	1.730	 
